Date,GLD_Price,USD_KRW
2017-08-30,1310.01,1123.50
2017-08-31,1307.27,1127.00
2017-09-01,1318.99,1122.00
2017-09-04,1335.57,1131.00
2017-09-05,1330.37,1131.00
2017-09-06,1337.43,1135.00
2017-09-07,1338.92,1130.00
2017-09-08,1351.18,1130.00
2017-09-11,1337.35,1132.00
2017-09-12,1327.27,1129.00
2017-09-13,1332.78,1129.00
2017-09-14,1322.90,1133.00
2017-09-15,1328.49,1131.00
2017-09-18,1315.96,1128.00
2017-09-19,1308.50,1131.50
2017-09-20,1313.12,1128.50
2017-09-21,1295.47,1134.00
2017-09-22,1295.60,1135.00
2017-09-25,1292.99,1132.00
2017-09-26,1306.76,1137.30
2017-09-27,1289.11,1143.50
2017-09-28,1281.70,1148.00
2017-09-29,1285.79,1146.50
2017-10-10,1288.89,1136.00
2017-10-11,1289.93,1135.50
2017-10-12,1296.97,1133.50
2017-10-13,1294.66,1129.00
2017-10-16,1304.09,1128.00
2017-10-17,1289.60,1132.00
2017-10-18,1280.04,1132.00
2017-10-19,1283.29,1132.50
2017-10-20,1281.47,1133.00
2017-10-23,1275.17,1131.00
2017-10-24,1278.67,1129.00
2017-10-25,1272.69,1128.50
2017-10-26,1278.84,1126.50
2017-10-27,1268.10,1130.00
2017-10-30,1270.21,1125.00
2017-10-31,1276.79,1119.00
2017-11-01,1275.20,1115.00
2017-11-02,1276.07,1114.50
2017-11-03,1275.54,1115.50
2017-11-06,1271.50,1114.00
2017-11-07,1276.57,1113.50
2017-11-08,1279.32,1115.30
2017-11-09,1283.74,1117.00
2017-11-10,1283.47,1119.00
2017-11-13,1277.41,1121.00
2017-11-14,1272.52,1118.00
2017-11-15,1284.85,1111.50
2017-11-16,1278.67,1099.00
2017-11-17,1282.66,1099.50
2017-11-20,1291.42,1099.50
2017-11-21,1280.83,1093.00
2017-11-22,1285.00,1089.50
2017-11-23,1289.87,1086.50
2017-11-24,1290.29,1087.00
2017-11-27,1293.07,1088.50
2017-11-28,1293.67,1082.00
2017-11-29,1296.34,1076.50
2017-11-30,1280.79,1088.50
2017-12-01,1277.27,1085.00
2017-12-04,1275.56,1088.50
2017-12-05,1275.45,1088.00
2017-12-06,1267.95,1094.50
2017-12-07,1257.56,1094.00
2017-12-08,1247.35,1094.00
2017-12-11,1249.59,1092.00
2017-12-12,1244.86,1092.00
2017-12-13,1242.21,1092.50
2017-12-14,1255.37,1089.50
2017-12-15,1256.40,1090.00
2017-12-18,1256.89,1088.00
2017-12-19,1264.97,1084.00
2017-12-20,1263.51,1083.00
2017-12-21,1264.89,1082.50
2017-12-22,1268.72,1080.00
2017-12-26,1278.22,1076.00
2017-12-27,1285.87,1075.00
2017-12-28,1293.10,1070.00
2017-12-29,1294.77,1067.50
2018-01-02,1311.19,1062.00
2018-01-03,1314.50,1065.50
2018-01-04,1311.08,1064.50
2018-01-05,1317.27,1063.50
2018-01-08,1316.19,1068.50
2018-01-09,1314.16,1070.00
2018-01-10,1314.77,1070.00
2018-01-11,1318.35,1071.50
2018-01-12,1329.40,1065.00
2018-01-15,1341.96,1064.00
2018-01-16,1335.82,1065.00
2018-01-17,1335.21,1070.00
2018-01-18,1328.55,1071.00
2018-01-19,1337.73,1066.50
2018-01-22,1332.19,1071.00
2018-01-23,1336.89,1074.50
2018-01-24,1348.80,1068.00
2018-01-25,1358.29,1063.00
2018-01-26,1356.19,1065.00
2018-01-29,1346.63,1069.50
2018-01-30,1337.58,1072.00
2018-01-31,1342.10,1067.00
2018-02-01,1344.03,1071.50
2018-02-02,1346.35,1085.00
2018-02-05,1336.82,1089.00
2018-02-06,1340.85,1088.00
2018-02-07,1330.41,1085.00
2018-02-08,1308.46,1091.00
2018-02-09,1314.91,1089.00
2018-02-12,1321.60,1085.00
2018-02-13,1329.76,1085.50
2018-02-14,1331.24,1079.00
2018-02-19,1347.19,1068.50
2018-02-20,1337.23,1074.00
2018-02-21,1328.71,1075.50
2018-02-22,1321.91,1085.00
2018-02-23,1329.60,1079.00
2018-02-26,1339.00,1073.00
2018-02-27,1333.89,1072.00
2018-02-28,1317.55,1082.00
2018-03-02,1317.69,1079.50
2018-03-05,1327.11,1082.00
2018-03-06,1322.29,1078.00
2018-03-07,1333.17,1068.50
2018-03-08,1326.45,1072.00
2018-03-09,1318.58,1071.00
2018-03-12,1320.80,1066.00
2018-03-13,1318.52,1066.50
2018-03-14,1324.06,1064.50
2018-03-15,1324.02,1065.00
2018-03-16,1318.59,1067.00
2018-03-19,1310.71,1072.50
2018-03-20,1315.14,1070.50
2018-03-21,1316.91,1072.00
2018-03-22,1331.92,1073.50
2018-03-23,1340.10,1080.00
2018-03-26,1348.53,1078.50
2018-03-27,1350.49,1072.50
2018-03-28,1341.17,1071.00
2018-03-29,1325.72,1066.00
2018-03-30,1323.75,1062.50
2018-04-02,1332.29,1054.50
2018-04-03,1337.39,1056.50
2018-04-04,1342.02,1062.50
2018-04-05,1325.47,1061.00
2018-04-06,1323.81,1069.50
2018-04-09,1329.79,1070.00
2018-04-10,1334.98,1067.50
2018-04-11,1344.17,1068.00
2018-04-12,1347.04,1071.50
2018-04-13,1341.29,1070.00
2018-04-16,1343.79,1074.00
2018-04-17,1342.69,1068.00
2018-04-18,1345.07,1067.00
2018-04-19,1351.66,1062.00
2018-04-20,1341.06,1070.00
2018-04-23,1328.48,1075.00
2018-04-24,1326.19,1077.00
2018-04-25,1324.37,1081.00
2018-04-26,1323.21,1080.00
2018-04-27,1317.41,1076.00
2018-04-30,1316.16,1069.50
2018-05-02,1309.42,1076.50
2018-05-03,1310.10,1075.50
2018-05-04,1309.31,1077.00
2018-05-08,1312.69,1079.50
2018-05-09,1306.28,1081.00
2018-05-10,1314.82,1072.00
2018-05-11,1323.50,1069.00
2018-05-14,1321.09,1068.50
2018-05-15,1310.30,1074.50
2018-05-16,1291.93,1081.00
2018-05-17,1287.43,1081.50
2018-05-18,1288.02,1080.00
2018-05-21,1284.38,1084.50
2018-05-23,1292.44,1082.00
2018-05-24,1297.32,1078.50
2018-05-25,1305.04,1077.00
2018-05-28,1297.38,1074.00
2018-05-29,1302.79,1079.50
2018-05-30,1298.23,1080.00
2018-05-31,1304.05,1077.50
2018-06-01,1299.78,1074.50
2018-06-04,1293.59,1070.50
2018-06-05,1292.82,1070.50
2018-06-07,1297.80,1069.00
2018-06-08,1297.59,1077.00
2018-06-11,1296.57,1076.00
2018-06-12,1297.97,1076.50
2018-06-14,1303.00,1082.50
2018-06-15,1299.99,1096.50
2018-06-18,1281.91,1104.50
2018-06-19,1281.14,1114.50
2018-06-20,1272.49,1106.50
2018-06-21,1263.09,1112.50
2018-06-22,1269.85,1107.50
2018-06-25,1269.83,1117.00
2018-06-26,1259.14,1116.00
2018-06-27,1255.67,1119.50
2018-06-28,1249.86,1125.00
2018-06-29,1249.87,1113.00
2018-07-02,1249.81,1119.00
2018-07-03,1244.12,1115.00
2018-07-04,1255.87,1116.50
2018-07-05,1253.30,1119.50
2018-07-06,1255.84,1116.00
2018-07-09,1261.22,1112.50
2018-07-10,1252.91,1116.50
2018-07-11,1251.30,1124.00
2018-07-12,1245.80,1127.00
2018-07-13,1240.79,1132.00
2018-07-16,1244.39,1128.00
2018-07-17,1243.96,1125.50
2018-07-18,1221.88,1132.50
2018-07-19,1219.76,1138.00
2018-07-20,1223.74,1135.00
2018-07-23,1228.12,1134.00
2018-07-24,1223.09,1134.50
2018-07-25,1228.32,1125.50
2018-07-26,1228.59,1120.00
2018-07-27,1222.47,1118.50
2018-07-30,1221.78,1120.00
2018-07-31,1221.72,1119.50
2018-08-01,1224.20,1119.50
2018-08-02,1217.12,1129.00
2018-08-03,1206.75,1128.00
2018-08-06,1211.77,1125.00
2018-08-07,1213.35,1122.50
2018-08-08,1212.50,1120.00
2018-08-09,1212.35,1118.50
2018-08-10,1208.51,1129.00
2018-08-13,1204.05,1134.00
2018-08-14,1193.69,1129.50
2018-08-16,1180.85,1130.50
2018-08-17,1177.78,1124.50
2018-08-20,1186.96,1123.10
2018-08-21,1195.10,1118.00
2018-08-22,1195.54,1119.50
2018-08-23,1188.31,1122.00
2018-08-24,1189.74,1118.50
2018-08-27,1203.62,1114.00
2018-08-28,1213.38,1108.00
2018-08-29,1203.34,1111.50
2018-08-30,1203.30,1110.00
2018-08-31,1204.63,1116.00
2018-09-03,1203.24,1111.50
2018-09-04,1194.51,1116.00
2018-09-05,1195.25,1123.50
2018-09-06,1202.61,1121.00
2018-09-07,1200.96,1123.00
2018-09-10,1195.04,1128.50
2018-09-11,1194.50,1127.50
2018-09-12,1195.58,1128.50
2018-09-13,1206.36,1123.00
2018-09-14,1207.02,1118.00
2018-09-17,1195.81,1127.00
2018-09-18,1198.67,1124.50
2018-09-19,1203.23,1122.00
2018-09-20,1201.84,1122.00
2018-09-21,1208.06,1116.50
2018-09-27,1196.57,1112.00
2018-09-28,1182.87,1110.50
2018-10-01,1186.16,1111.00
2018-10-02,1192.72,1121.50
2018-10-04,1198.38,1130.00
2018-10-05,1198.86,1130.00
2018-10-08,1194.14,1137.00
2018-10-10,1185.95,1137.50
2018-10-11,1197.24,1142.50
2018-10-12,1216.93,1133.00
2018-10-15,1230.18,1133.50
2018-10-16,1229.35,1126.00
2018-10-17,1227.68,1126.50
2018-10-18,1223.26,1134.50
2018-10-19,1225.84,1133.00
2018-10-22,1223.32,1131.00
2018-10-23,1235.64,1136.50
2018-10-24,1231.45,1133.00
2018-10-25,1233.56,1138.00
2018-10-26,1237.35,1141.00
2018-10-29,1230.46,1142.50
2018-10-30,1223.93,1138.50
2018-10-31,1216.76,1139.00
2018-11-01,1226.58,1133.00
2018-11-02,1234.46,1118.50
2018-11-05,1233.69,1123.50
2018-11-06,1234.13,1124.00
2018-11-07,1231.79,1121.50
2018-11-08,1222.19,1116.00
2018-11-09,1221.21,1129.00
2018-11-12,1206.61,1137.50
2018-11-13,1201.67,1134.00
2018-11-14,1200.74,1136.00
2018-11-15,1213.39,1129.50
2018-11-16,1216.63,1130.00
2018-11-19,1221.73,1126.50
2018-11-20,1224.60,1127.00
2018-11-21,1224.55,1130.50
2018-11-22,1227.54,1130.00
2018-11-23,1221.21,1132.50
2018-11-26,1225.46,1128.50
2018-11-27,1221.84,1129.50
2018-11-28,1213.09,1128.00
2018-11-29,1224.96,1121.00
2018-11-30,1223.14,1122.00
2018-12-03,1231.91,1110.50
2018-12-04,1239.09,1107.00
2018-12-05,1236.90,1113.50
2018-12-06,1235.63,1119.50
2018-12-07,1240.89,1120.50
2018-12-10,1246.24,1128.00
2018-12-11,1249.37,1131.00
2018-12-12,1244.30,1129.50
2018-12-13,1245.82,1125.00
2018-12-14,1237.60,1134.00
2018-12-17,1238.92,1131.50
2018-12-18,1248.79,1129.00
2018-12-19,1251.01,1126.50
2018-12-20,1249.95,1126.00
2018-12-21,1258.66,1123.50
2018-12-24,1263.49,1125.50
2018-12-26,1271.93,1126.00
2018-12-27,1272.33,1120.00
2018-12-28,1277.67,1116.50
2018-12-31,1280.85,1114.00
2019-01-02,1288.17,1120.50
2019-01-03,1289.97,1127.50
2019-01-04,1292.07,1124.00
2019-01-07,1289.67,1119.50
2019-01-08,1283.76,1125.50
2019-01-09,1283.10,1121.50
2019-01-10,1296.19,1119.50
2019-01-11,1293.93,1116.00
2019-01-14,1293.54,1123.00
2019-01-15,1288.29,1121.00
2019-01-16,1290.49,1121.00
2019-01-17,1293.84,1123.00
2019-01-18,1288.83,1122.00
2019-01-21,1278.33,1130.50
2019-01-22,1284.10,1132.00
2019-01-23,1286.77,1128.00
2019-01-24,1278.60,1129.50
2019-01-25,1283.35,1122.00
2019-01-28,1300.73,1119.00
2019-01-29,1309.28,1118.50
2019-01-30,1313.89,1117.50
2019-01-31,1320.64,1113.50
2019-02-01,1318.79,1118.50
2019-02-07,1303.93,1126.00
2019-02-08,1308.30,1123.00
2019-02-11,1309.17,1125.50
2019-02-12,1311.80,1125.00
2019-02-13,1312.64,1122.30
2019-02-14,1305.94,1127.50
2019-02-15,1315.66,1129.50
2019-02-18,1323.28,1126.00
2019-02-19,1328.19,1128.00
2019-02-20,1342.15,1123.50
2019-02-21,1336.18,1125.50
2019-02-22,1326.97,1124.50
2019-02-25,1329.89,1120.00
2019-02-26,1325.10,1118.00
2019-02-27,1327.14,1119.00
2019-02-28,1323.63,1124.00
2019-03-04,1286.46,1126.50
2019-03-05,1285.29,1126.50
2019-03-06,1286.78,1129.00
2019-03-07,1286.37,1128.50
2019-03-08,1293.55,1137.00
2019-03-11,1296.02,1134.00
2019-03-12,1295.59,1130.00
2019-03-13,1306.46,1133.00
2019-03-14,1301.92,1134.00
2019-03-15,1303.57,1136.50
2019-03-18,1302.99,1133.00
2019-03-19,1306.27,1131.00
2019-03-20,1302.39,1130.00
2019-03-21,1317.76,1128.50
2019-03-22,1311.49,1134.00
2019-03-25,1317.71,1134.00
2019-03-26,1317.11,1134.00
2019-03-27,1316.41,1136.00
2019-03-28,1307.78,1137.50
2019-03-29,1289.26,1136.00
2019-04-01,1290.48,1134.50
2019-04-02,1286.59,1137.00
2019-04-03,1292.12,1135.00
2019-04-04,1291.01,1138.00
2019-04-05,1288.73,1138.00
2019-04-08,1297.06,1145.50
2019-04-09,1301.82,1140.50
2019-04-10,1304.42,1139.50
2019-04-11,1304.46,1140.00
2019-04-12,1293.77,1138.00
2019-04-15,1286.43,1133.00
2019-04-16,1284.51,1136.00
2019-04-17,1276.54,1133.50
2019-04-18,1276.04,1137.50
2019-04-19,1275.39,1136.50
2019-04-22,1279.36,1141.50
2019-04-23,1273.76,1142.50
2019-04-24,1272.90,1150.00
2019-04-25,1276.99,1163.50
2019-04-26,1282.16,1160.50
2019-04-29,1282.26,1160.50
2019-04-30,1283.62,1166.00
2019-05-02,1271.11,1165.00
2019-05-03,1269.58,1170.50
2019-05-07,1282.94,1168.00
2019-05-08,1285.86,1170.50
2019-05-09,1284.79,1182.50
2019-05-10,1284.75,1178.00
2019-05-13,1284.48,1187.50
2019-05-14,1297.04,1189.00
2019-05-15,1297.99,1190.00
2019-05-16,1296.19,1190.00
2019-05-17,1287.20,1196.00
2019-05-20,1274.46,1195.00
2019-05-21,1275.39,1196.00
2019-05-22,1273.86,1191.00
2019-05-23,1275.90,1191.50
2019-05-24,1281.84,1188.50
2019-05-27,1286.30,1185.50
2019-05-28,1285.17,1189.50
2019-05-29,1283.81,1195.00
2019-05-30,1277.48,1191.00
2019-05-31,1294.74,1191.00
2019-06-03,1314.65,1182.50
2019-06-04,1324.13,1183.50
2019-06-05,1333.16,1179.00
2019-06-07,1335.75,1185.50
2019-06-10,1327.15,1187.00
2019-06-11,1322.73,1181.50
2019-06-12,1338.03,1183.00
2019-06-13,1336.77,1183.50
2019-06-14,1353.92,1185.50
2019-06-17,1333.82,1187.00
2019-06-18,1346.50,1186.00
2019-06-19,1341.99,1176.50
2019-06-20,1380.28,1161.50
2019-06-21,1389.40,1164.50
2019-06-24,1405.50,1158.00
2019-06-25,1430.66,1156.50
2019-06-26,1410.40,1157.50
2019-06-27,1403.40,1157.50
2019-06-28,1414.39,1155.50
2019-07-01,1388.17,1163.00
2019-07-02,1393.48,1167.50
2019-07-03,1425.18,1170.00
2019-07-04,1411.89,1170.00
2019-07-05,1413.92,1171.50
2019-07-08,1406.15,1181.00
2019-07-09,1386.21,1183.50
2019-07-10,1393.58,1181.00
2019-07-11,1423.90,1174.00
2019-07-12,1409.49,1179.00
2019-07-15,1415.81,1180.00
2019-07-16,1414.14,1178.50
2019-07-17,1402.49,1181.00
2019-07-18,1422.03,1178.50
2019-07-19,1440.04,1175.50
2019-07-22,1425.92,1177.50
2019-07-23,1418.15,1179.00
2019-07-24,1425.40,1178.00
2019-07-25,1426.92,1181.50
2019-07-26,1417.50,1184.50
2019-07-29,1418.79,1184.50
2019-07-30,1426.54,1181.50
2019-07-31,1430.47,1183.00
2019-08-01,1405.88,1188.50
2019-08-02,1435.44,1200.50
2019-08-05,1457.15,1215.00
2019-08-06,1462.67,1216.00
2019-08-07,1487.40,1215.50
2019-08-08,1497.62,1209.50
2019-08-09,1503.10,1211.00
2019-08-12,1502.49,1219.50
2019-08-13,1523.40,1223.50
2019-08-14,1500.89,1214.00
2019-08-16,1511.01,1211.00
2019-08-19,1501.30,1210.50
2019-08-20,1502.47,1209.00
2019-08-21,1498.51,1203.50
2019-08-22,1498.69,1208.50
2019-08-23,1496.49,1211.00
2019-08-26,1526.48,1215.00
2019-08-27,1531.80,1214.00
2019-08-28,1539.55,1215.00
2019-08-29,1539.91,1212.50
2019-08-30,1525.86,1209.00
2019-09-02,1521.25,1212.50
2019-09-03,1531.60,1216.00
2019-09-04,1538.90,1207.00
2019-09-05,1542.82,1201.00
2019-09-06,1508.59,1195.50
2019-09-09,1508.36,1193.50
2019-09-10,1494.06,1191.50
2019-09-11,1493.25,1194.50
2019-09-16,1501.37,1183.50
2019-09-17,1497.83,1190.50
2019-09-18,1501.70,1192.50
2019-09-19,1497.76,1194.00
2019-09-20,1506.35,1189.00
2019-09-23,1520.45,1198.00
2019-09-24,1520.96,1194.50
2019-09-25,1532.51,1199.50
2019-09-26,1507.50,1201.00
2019-09-27,1497.31,1199.00
2019-09-30,1488.89,1199.00
2019-10-01,1462.00,1201.50
2019-10-02,1481.87,1206.00
2019-10-04,1508.51,1197.00
2019-10-07,1501.58,1198.00
2019-10-08,1499.21,1195.00
2019-10-10,1509.03,1195.50
2019-10-11,1498.69,1186.00
2019-10-14,1490.09,1184.50
2019-10-15,1494.97,1186.00
2019-10-16,1483.93,1190.00
2019-10-17,1488.83,1181.00
2019-10-18,1489.35,1181.00
2019-10-21,1489.50,1171.50
2019-10-22,1488.37,1174.00
2019-10-23,1494.42,1172.00
2019-10-24,1491.15,1173.50
2019-10-25,1505.76,1173.50
2019-10-28,1506.40,1170.50
2019-10-29,1494.53,1166.00
2019-10-30,1490.25,1166.50
2019-10-31,1500.92,1165.00
2019-11-01,1513.28,1165.50
2019-11-04,1510.08,1161.00
2019-11-05,1504.81,1156.00
2019-11-06,1487.58,1158.00
2019-11-07,1487.37,1157.00
2019-11-08,1470.59,1157.50
2019-11-11,1464.50,1166.00
2019-11-12,1453.15,1162.50
2019-11-13,1460.46,1168.00
2019-11-14,1470.02,1169.50
2019-11-15,1466.90,1167.00
2019-11-18,1459.90,1164.50
2019-11-19,1468.44,1167.50
2019-11-20,1477.86,1171.00
2019-11-21,1472.94,1177.00
2019-11-22,1467.48,1177.00
2019-11-25,1457.78,1176.50
2019-11-26,1457.28,1177.50
2019-11-27,1459.26,1177.00
2019-11-28,1457.11,1179.00
2019-11-29,1457.39,1180.00
2019-12-02,1455.15,1185.50
2019-12-03,1463.35,1188.00
2019-12-04,1482.47,1193.00
2019-12-05,1474.92,1191.00
2019-12-06,1474.61,1189.50
2019-12-09,1462.51,1192.00
2019-12-10,1464.39,1192.00
2019-12-11,1465.86,1195.00
2019-12-12,1472.61,1187.50
2019-12-13,1472.52,1171.50
2019-12-16,1475.25,1174.00
2019-12-17,1478.52,1167.50
2019-12-18,1478.04,1167.50
2019-12-19,1475.25,1166.00
2019-12-20,1477.66,1160.50
2019-12-23,1484.88,1164.00
2019-12-24,1490.83,1163.00
2019-12-26,1504.57,1162.00
2019-12-27,1508.49,1162.00
2019-12-30,1512.69,1157.00
2019-12-31,1524.96,1155.00
2020-01-02,1521.90,1157.50
2020-01-03,1543.84,1167.50
2020-01-06,1575.68,1170.00
2020-01-07,1564.99,1166.00
2020-01-08,1582.01,1169.50
2020-01-09,1547.09,1161.00
2020-01-10,1551.94,1161.50
2020-01-13,1549.39,1156.00
2020-01-14,1545.22,1158.50
2020-01-15,1553.84,1157.50
2020-01-16,1553.91,1159.50
2020-01-17,1554.67,1159.00
2020-01-20,1559.92,1159.50
2020-01-21,1554.25,1167.00
2020-01-22,1556.30,1165.50
2020-01-23,1556.58,1168.00
2020-01-28,1579.82,1179.00
2020-01-29,1568.21,1179.00
2020-01-30,1581.17,1188.00
2020-01-31,1573.82,1194.00
2020-02-03,1574.92,1194.00
2020-02-04,1567.36,1187.50
2020-02-05,1555.87,1185.50
2020-02-06,1558.22,1183.50
2020-02-07,1565.37,1191.00
2020-02-10,1574.46,1188.00
2020-02-11,1566.65,1184.00
2020-02-12,1562.26,1179.50
2020-02-13,1574.56,1181.50
2020-02-14,1575.41,1182.50
2020-02-17,1580.55,1184.00
2020-02-18,1587.55,1191.00
2020-02-19,1606.92,1189.00
2020-02-20,1608.73,1203.00
2020-02-21,1632.61,1211.50
2020-02-24,1680.52,1217.50
2020-02-25,1651.56,1215.00
2020-02-26,1653.19,1217.00
2020-02-27,1646.82,1214.50
2020-02-28,1637.48,1210.00
2020-03-02,1605.10,1191.00
2020-03-03,1596.96,1193.50
2020-03-04,1635.98,1184.50
2020-03-05,1638.68,1185.00
2020-03-06,1677.31,1188.00
2020-03-09,1675.61,1202.00
2020-03-10,1664.58,1194.50
2020-03-11,1658.70,1192.00
2020-03-12,1642.45,1207.00
2020-03-13,1586.01,1218.50
2020-03-16,1540.50,1227.00
2020-03-17,1483.00,1241.00
2020-03-18,1493.31,1257.00
2020-03-19,1482.51,1280.00
2020-03-20,1504.29,1241.50
2020-03-23,1491.34,1265.50
2020-03-24,1586.80,1246.50
2020-03-25,1607.19,1230.00
2020-03-26,1605.15,1229.00
2020-03-27,1616.17,1222.00
2020-03-30,1624.56,1224.50
2020-03-31,1611.72,1223.00
2020-04-01,1595.34,1231.50
2020-04-02,1588.66,1227.50
2020-04-03,1612.27,1233.00
2020-04-06,1636.05,1230.00
2020-04-07,1658.15,1216.00
2020-04-08,1650.39,1221.50
2020-04-09,1659.68,1220.00
2020-04-10,1691.99,1212.00
2020-04-13,1691.18,1217.50
2020-04-14,1717.38,1216.00
2020-04-16,1723.20,1226.00
2020-04-17,1695.69,1217.00
2020-04-20,1678.99,1219.50
2020-04-21,1695.15,1231.00
2020-04-22,1698.29,1233.00
2020-04-23,1725.72,1230.00
2020-04-24,1728.45,1232.50
2020-04-27,1721.74,1227.00
2020-04-28,1702.22,1222.50
2020-04-29,1705.00,1219.00
2020-05-04,1705.41,1225.50
2020-05-06,1703.54,1224.00
2020-05-07,1691.33,1225.50
