Date,Shanghai
2017-12-14,3292.44
2017-12-15,3266.14
2017-12-18,3267.92
2017-12-19,3296.54
2017-12-20,3287.61
2017-12-21,3300.06
2017-12-22,3297.06
2017-12-25,3280.46
2017-12-26,3306.12
2017-12-27,3275.78
2017-12-28,3296.38
2017-12-29,3307.17
2018-01-02,3348.33
2018-01-03,3369.11
2018-01-04,3385.71
2018-01-05,3391.75
2018-01-08,3409.48
2018-01-09,3413.90
2018-01-10,3421.83
2018-01-11,3425.34
2018-01-12,3428.94
2018-01-15,3410.49
2018-01-16,3436.59
2018-01-17,3444.67
2018-01-18,3474.75
2018-01-19,3487.86
2018-01-22,3501.36
2018-01-23,3546.50
2018-01-24,3559.47
2018-01-25,3548.31
2018-01-26,3558.13
2018-01-29,3523.00
2018-01-30,3488.01
2018-01-31,3480.83
2018-02-01,3446.98
2018-02-02,3462.08
2018-02-05,3487.50
2018-02-06,3370.65
2018-02-07,3309.26
2018-02-08,3262.05
2018-02-09,3129.85
2018-02-12,3154.13
2018-02-13,3184.96
2018-02-14,3199.16
2018-02-22,3268.56
2018-02-23,3289.02
2018-02-26,3329.57
2018-02-27,3292.07
2018-02-28,3259.41
2018-03-01,3273.75
2018-03-02,3254.53
2018-03-05,3256.93
2018-03-06,3289.64
2018-03-07,3271.67
2018-03-08,3288.41
2018-03-09,3307.17
2018-03-12,3326.70
2018-03-13,3310.24
2018-03-14,3291.38
2018-03-15,3291.11
2018-03-16,3269.88
2018-03-19,3279.25
2018-03-20,3290.64
2018-03-21,3280.95
2018-03-22,3263.48
2018-03-23,3152.76
2018-03-26,3133.72
2018-03-27,3166.65
2018-03-28,3122.29
2018-03-29,3160.53
2018-03-30,3168.90
2018-04-02,3163.18
2018-04-03,3136.63
2018-04-04,3131.11
2018-04-09,3138.29
2018-04-10,3190.32
2018-04-11,3208.08
2018-04-12,3180.16
2018-04-13,3159.05
2018-04-16,3110.65
2018-04-17,3066.80
2018-04-18,3091.40
2018-04-19,3117.38
2018-04-20,3071.54
2018-04-23,3068.01
2018-04-24,3128.93
2018-04-25,3117.97
2018-04-26,3075.03
2018-04-27,3082.23
2018-05-02,3081.18
2018-05-03,3100.86
2018-05-04,3091.03
2018-05-07,3136.64
2018-05-08,3161.50
2018-05-09,3159.15
2018-05-10,3174.41
2018-05-11,3163.26
2018-05-14,3174.03
2018-05-15,3192.12
2018-05-16,3169.57
2018-05-17,3154.28
2018-05-18,3193.30
2018-05-21,3213.84
2018-05-22,3214.35
2018-05-23,3168.96
2018-05-24,3154.65
2018-05-25,3141.30
2018-05-28,3135.08
2018-05-29,3120.46
2018-05-30,3041.44
2018-05-31,3095.47
2018-06-01,3075.14
2018-06-04,3091.19
2018-06-05,3114.21
2018-06-06,3115.18
2018-06-07,3109.50
2018-06-08,3067.15
2018-06-11,3052.78
2018-06-12,3079.80
2018-06-13,3049.80
2018-06-14,3044.16
2018-06-15,3021.90
2018-06-19,2907.82
2018-06-20,2915.73
2018-06-21,2875.81
2018-06-22,2889.76
2018-06-25,2859.34
2018-06-26,2844.51
2018-06-27,2813.18
2018-06-28,2786.90
2018-06-29,2847.42
2018-07-02,2775.56
2018-07-03,2786.89
2018-07-04,2759.13
2018-07-05,2733.88
2018-07-06,2747.23
2018-07-09,2815.11
2018-07-10,2827.63
2018-07-11,2777.77
2018-07-12,2837.66
2018-07-13,2831.18
2018-07-16,2814.04
2018-07-17,2798.13
2018-07-18,2787.26
2018-07-19,2772.55
2018-07-20,2829.27
2018-07-23,2859.54
2018-07-24,2905.56
2018-07-25,2903.65
2018-07-26,2882.23
2018-07-27,2873.59
2018-07-30,2869.05
2018-07-31,2876.40
2018-08-01,2824.53
2018-08-02,2768.02
2018-08-03,2740.44
2018-08-06,2705.16
2018-08-07,2779.37
2018-08-08,2744.07
2018-08-09,2794.38
2018-08-10,2795.31
2018-08-13,2785.87
2018-08-14,2780.96
2018-08-15,2723.26
2018-08-16,2705.19
2018-08-17,2668.97
2018-08-20,2698.47
2018-08-21,2733.83
2018-08-22,2714.61
2018-08-23,2724.62
2018-08-24,2729.43
2018-08-27,2780.90
2018-08-28,2777.98
2018-08-29,2769.29
2018-08-30,2737.74
2018-08-31,2725.25
2018-09-03,2720.73
2018-09-04,2750.58
2018-09-05,2704.34
2018-09-06,2691.59
2018-09-07,2702.30
2018-09-10,2669.48
2018-09-11,2664.80
2018-09-12,2656.11
2018-09-13,2686.58
2018-09-14,2681.64
2018-09-17,2651.79
2018-09-18,2699.95
2018-09-19,2730.85
2018-09-20,2729.24
2018-09-21,2797.48
2018-09-25,2781.14
2018-09-26,2806.81
2018-09-27,2791.77
2018-09-28,2821.35
2018-10-08,2716.51
2018-10-09,2721.01
2018-10-10,2725.84
2018-10-11,2583.46
2018-10-12,2606.91
2018-10-15,2568.10
2018-10-16,2546.33
2018-10-17,2561.61
2018-10-18,2486.42
2018-10-19,2550.47
2018-10-22,2654.88
2018-10-23,2594.83
2018-10-24,2603.30
2018-10-25,2603.80
2018-10-26,2598.85
2018-10-29,2542.10
2018-10-30,2568.05
2018-10-31,2602.78
2018-11-01,2606.24
2018-11-02,2676.48
2018-11-05,2665.43
2018-11-06,2659.36
2018-11-07,2641.34
2018-11-08,2635.63
2018-11-09,2598.87
2018-11-12,2630.52
2018-11-13,2654.88
2018-11-14,2632.24
2018-11-15,2668.17
2018-11-16,2679.11
2018-11-19,2703.51
2018-11-20,2645.85
2018-11-21,2651.51
2018-11-22,2645.43
2018-11-23,2579.48
2018-11-26,2575.81
2018-11-27,2574.68
